1514764800000,5a4980f57c459f246b63d649,1|lat:391ms
1514772000000,5a49915f7c459f246b63d661,3|lat:401ms
1514775600000,5a49915f7c459f246b63d661,9|lat:367ms,5a4980f57c459f246b63d649,4|lat:367ms
1514779200000,5a49915f7c459f246b63d661,5|lat:324ms,5a4980f57c459f246b63d649,2|lat:324ms
1514782800000,5a49915f7c459f246b63d661,4|lat:287ms,5a4980f57c459f246b63d649,1|lat:287ms
1514786400000,5a49915f7c459f246b63d661,6|lat:248ms,5a4980f57c459f246b63d649,2|lat:248ms
1514790000000,5a49915f7c459f246b63d661,3|lat:289ms,5a4980f57c459f246b63d649,1|lat:289ms
1514793600000,5a49915f7c459f246b63d661,3|lat:243ms,5a4980f57c459f246b63d649,1|lat:243ms
1514797200000,5a49915f7c459f246b63d661,2|lat:222ms,5a4980f57c459f246b63d649,1|lat:222ms
1514800800000,5a49915f7c459f246b63d661,3|lat:180ms,5a4980f57c459f246b63d649,1|lat:180ms
1514804400000,5a49915f7c459f246b63d661,8|lat:134ms,5a4980f57c459f246b63d649,2|lat:134ms
1514808000000,5a49915f7c459f246b63d661,17|lat:253ms,5a4980f57c459f246b63d649,5|lat:253ms
1514811600000,5a49915f7c459f246b63d661,28|lat:235ms,5a4980f57c459f246b63d649,19|lat:235ms,5a4a0dc97c459f246b63d6c3,2|lat:235ms
1514815200000,5a4980f57c459f246b63d649,55|lat:209ms,5a49915f7c459f246b63d661,38|lat:209ms,5a4a30e37c459f246b63d6da,3|lat:209ms
1514818800000,5a4980f57c459f246b63d649,39|lat:177ms,5a49915f7c459f246b63d661,36|lat:177ms,5a4a0dc97c459f246b63d6c3,2|lat:177ms
1514822400000,5a49915f7c459f246b63d661,49|lat:151ms,5a4980f57c459f246b63d649,37|lat:151ms,5a4a0dc97c459f246b63d6c3,4|lat:151ms
1514826000000,5a4980f57c459f246b63d649,51|lat:117ms,5a49915f7c459f246b63d661,41|lat:117ms,5a4a0dc97c459f246b63d6c3,3|lat:117ms
1514829600000,5a4980f57c459f246b63d649,69|lat:99ms,5a49915f7c459f246b63d661,36|lat:99ms,5a4a75337c459f246b63d71b,13|lat:99ms
1514833200000,5a4980f57c459f246b63d649,43|lat:256ms,5a49915f7c459f246b63d661,21|lat:256ms,5a4a75337c459f246b63d71b,16|lat:256ms
1514836800000,5a4980f57c459f246b63d649,45|lat:254ms,5a4a75337c459f246b63d71b,19|lat:254ms,5a49915f7c459f246b63d661,17|lat:254ms
1514840400000,5a4980f57c459f246b63d649,42|lat:222ms,5a4a75337c459f246b63d71b,19|lat:222ms,5a49915f7c459f246b63d661,16|lat:222ms
1514844000000,5a4980f57c459f246b63d649,32|lat:183ms,5a4a75337c459f246b63d71b,13|lat:183ms,5a49915f7c459f246b63d661,12|lat:183ms
1514847600000,5a4980f57c459f246b63d649,23|lat:153ms,5a4aa7937c459f246b63d747,15|lat:153ms,5a4a75337c459f246b63d71b,8|lat:153ms
1514851200000,5a4980f57c459f246b63d649,30|lat:122ms,5a4aa7937c459f246b63d747,17|lat:122ms,5a4a75337c459f246b63d71b,9|lat:122ms
1514854800000,5a4980f57c459f246b63d649,19|lat:101ms,5a4a75337c459f246b63d71b,9|lat:101ms,5a4aa7937c459f246b63d747,8|lat:101ms
1514858400000,5a4980f57c459f246b63d649,17|lat:265ms,5a49915f7c459f246b63d661,6|lat:265ms,5a4aa7937c459f246b63d747,6|lat:265ms
1514862000000,5a4af08f7c459f246b63d781,45|lat:248ms,5a4ac0a57c459f246b63d762,27|lat:248ms,5a4ab3fd7c459f246b63d755,21|lat:248ms
1514865600000,5a4af08f7c459f246b63d781,45|lat:235ms,5a4ab3fd7c459f246b63d755,30|lat:235ms,5a4aa7937c459f246b63d747,26|lat:235ms
1514869200000,5a4af08f7c459f246b63d781,35|lat:229ms,5a4ab3fd7c459f246b63d755,20|lat:229ms,5a4aa7937c459f246b63d747,17|lat:229ms
1514872800000,5a4af08f7c459f246b63d781,27|lat:179ms,5a4ab3fd7c459f246b63d755,15|lat:179ms,5a4ac0a57c459f246b63d762,8|lat:179ms
1514876400000,5a4af08f7c459f246b63d781,29|lat:176ms,5a4ab3fd7c459f246b63d755,13|lat:176ms,5a4ac0a57c459f246b63d762,10|lat:176ms
1514880000000,5a4af08f7c459f246b63d781,17|lat:157ms,5a4aa7937c459f246b63d747,15|lat:157ms,5a4ab3fd7c459f246b63d755,11|lat:157ms
1514883600000,5a4af08f7c459f246b63d781,20|lat:135ms,5a4aa7937c459f246b63d747,15|lat:135ms,5a4a75337c459f246b63d71b,8|lat:135ms
1514887200000,5a4af08f7c459f246b63d781,28|lat:119ms,5a4a75337c459f246b63d71b,20|lat:119ms,5a4aa7937c459f246b63d747,10|lat:119ms
1514890800000,5a4af08f7c459f246b63d781,56|lat:98ms,5a4ab3fd7c459f246b63d755,25|lat:98ms,5a4aa7937c459f246b63d747,23|lat:98ms
1514894400000,5a4af08f7c459f246b63d781,93|lat:265ms,5a4ac0a57c459f246b63d762,47|lat:265ms,5a4aa7937c459f246b63d747,25|lat:265ms
1514898000000,5a4af08f7c459f246b63d781,90|lat:247ms,5a4ac0a57c459f246b63d762,64|lat:247ms,5a4aa7937c459f246b63d747,49|lat:247ms
1514901600000,5a4af08f7c459f246b63d781,121|lat:201ms,5a4ac0a57c459f246b63d762,74|lat:201ms,5a4a0a2a7c459f246b63d6c0,69|lat:201ms
1514905200000,5a4ab5467c459f246b63d757,91|lat:136ms,5a4af08f7c459f246b63d781,90|lat:136ms,5a4a0a2a7c459f246b63d6c0,87|lat:136ms
1514908800000,5a4af08f7c459f246b63d781,75|lat:110ms,5a4a0a2a7c459f246b63d6c0,66|lat:110ms,5a4ac0a57c459f246b63d762,65|lat:110ms
1514912400000,5a4af08f7c459f246b63d781,84|lat:250ms,5a4a0a2a7c459f246b63d6c0,67|lat:250ms,5a4ab5467c459f246b63d757,59|lat:250ms
1514916000000,5a4a0a2a7c459f246b63d6c0,68|lat:194ms,5a4af08f7c459f246b63d781,61|lat:194ms,5a4b432c7c459f246b63d7db,54|lat:194ms
1514919600000,5a4bd8c47c459f246b63d8d1,206|lat:142ms,5a4a0a2a7c459f246b63d6c0,74|lat:142ms,5a4b432c7c459f246b63d7db,61|lat:142ms
1514923200000,5a4bd8c47c459f246b63d8d1,177|lat:85ms,5a4b432c7c459f246b63d7db,66|lat:85ms,5a4a0a2a7c459f246b63d6c0,47|lat:85ms
1514926800000,5a4bd8c47c459f246b63d8d1,151|lat:248ms,5a4b432c7c459f246b63d7db,47|lat:248ms,5a4af08f7c459f246b63d781,35|lat:248ms
1514930400000,5a4bd8c47c459f246b63d8d1,115|lat:227ms,5a4b432c7c459f246b63d7db,63|lat:227ms,5a4bf03e7c459f246b63d908,30|lat:227ms
1514934000000,5a4bd8c47c459f246b63d8d1,97|lat:192ms,5a4b432c7c459f246b63d7db,38|lat:192ms,5a4ac2787c459f246b63d763,31|lat:192ms
1514937600000,5a4bd8c47c459f246b63d8d1,88|lat:173ms,5a4b6c327c459f246b63d819,25|lat:173ms,5a4bf03e7c459f246b63d908,24|lat:173ms
1514941200000,5a4bf3767c459f246b63d910,35|lat:162ms,5a4bd8c47c459f246b63d8d1,33|lat:162ms,5a4b6c327c459f246b63d819,29|lat:162ms
1514944800000,5a4b432c7c459f246b63d7db,39|lat:155ms,5a4bf3767c459f246b63d910,27|lat:155ms,5a4bd8c47c459f246b63d8d1,21|lat:155ms
1514948400000,5a4b432c7c459f246b63d7db,33|lat:147ms,5a4bf3767c459f246b63d910,25|lat:147ms,5a4b3c0a7c459f246b63d7cf,19|lat:147ms
1514952000000,5a4bd8c47c459f246b63d8d1,31|lat:139ms,5a4b432c7c459f246b63d7db,30|lat:139ms,5a4c37e07c459f246b63d993,23|lat:139ms
1514955600000,5a4c37e07c459f246b63d993,25|lat:136ms,5a4b432c7c459f246b63d7db,24|lat:136ms,5a4bd8c47c459f246b63d8d1,19|lat:136ms
1514959200000,5a4b432c7c459f246b63d7db,14|lat:109ms,5a4c37e07c459f246b63d993,14|lat:109ms,5a4bd8c47c459f246b63d8d1,14|lat:109ms
1514962800000,5a4b432c7c459f246b63d7db,22|lat:252ms,5a4bd8c47c459f246b63d8d1,10|lat:252ms,5a4bf3767c459f246b63d910,7|lat:252ms
1514966400000,5a4bf3767c459f246b63d910,9|lat:222ms,5a4c37e07c459f246b63d993,8|lat:222ms,5a4bd8c47c459f246b63d8d1,6|lat:222ms
1514970000000,5a4b432c7c459f246b63d7db,13|lat:169ms,5a4c37e07c459f246b63d993,13|lat:169ms,5a4bf3767c459f246b63d910,6|lat:169ms
1514973600000,5a4bd8c47c459f246b63d8d1,14|lat:133ms,5a4b432c7c459f246b63d7db,11|lat:133ms,5a4c37e07c459f246b63d993,11|lat:133ms
1514977200000,5a4e75c47c459f29e79b20d7,27|lat:117ms,5a4c37e07c459f246b63d993,24|lat:117ms,5a4b432c7c459f246b63d7db,22|lat:117ms
1514980800000,5a4e75c47c459f29e79b20d7,51|lat:90ms,5a4c37e07c459f246b63d993,35|lat:90ms,5a4bf03e7c459f246b63d908,29|lat:90ms
1514984400000,5a4e75c47c459f29e79b20d7,67|lat:232ms,5a4c37e07c459f246b63d993,48|lat:232ms,5a4bd8c47c459f246b63d8d1,36|lat:232ms
1514988000000,5a4c35f07c459f246b63d98e,95|lat:178ms,5a4bf03e7c459f246b63d908,52|lat:178ms,5a4c37e07c459f246b63d993,52|lat:178ms
1514991600000,5a4c35f07c459f246b63d98e,175|lat:143ms,5a4e75c47c459f29e79b20d7,65|lat:143ms,5a4c12927c459f246b63d95b,52|lat:143ms
1514995200000,5a4c35f07c459f246b63d98e,139|lat:122ms,5a4e75be7c459f29e79b20c2,58|lat:122ms,5a4c12927c459f246b63d95b,56|lat:122ms
