1514764800000,1,16,12,12,7,14,71,153,127,141,109,85|lat:130ms
1514851200000,83,156,184,96,78,171,462,834,744,742,609,506|lat:47ms
1514937600000,358,285,191,101,74,201,535,917,868,1160,902,746|lat:211ms
1515024000000,454,367,187,100,104,208,518,863,638,579,540,305|lat:67ms
1515110400000,326,477,346,131,120,274,735,1288,1072,1187,1045,584|lat:169ms
1515196800000,425,353,189,135,83,161,474,511,241,157,79,54|lat:33ms
1515283200000,31,27,24,12,17,27,81,281,237,144,125,117|lat:215ms
1515369600000,60,206,133,86,48,132,566,940,896,958,829,903|lat:115ms
1515456000000,620,426,276,134,90,165,679,1328,1163,826,571,538|lat:204ms
1515542400000,309,302,161,100,57,120,408,850,697,574,647,640|lat:27ms
1515628800000,385,297,163,94,59,164,734,1036,1111,681,485,441|lat:73ms
1515715200000,402,429,334,172,126,270,694,905,768,923,592,386|lat:95ms
1515801600000,267,353,307,153,84,202,419,471,143,110,308,338|lat:134ms
1515888000000,220,214,167,83,68,82,263,546,488,294,82,99|lat:179ms
1515974400000,57,166,123,74,52,107,282,627,534,380,269,135|lat:104ms
1516060800000,419,372,240,147,71,174,622,971,1000,780,602,185|lat:145ms
1516147200000,135,149,170,65,50,151,674,1037,1078,1069,680,389|lat:157ms
1516233600000,210,136,74,39,31,40,105,184,243,237,218,269|lat:144ms
1516320000000,176,226,218,120,64,207,580,982,805,648,521,460|lat:198ms
1516406400000,289,314,289,165,91,216,404,388,324,340,484,437|lat:71ms
1516492800000,388,323,210,139,78,122,226,324,652,357,294,102|lat:102ms
1516579200000,131,349,213,86,77,230,517,841,959,912,562,496|lat:147ms
1516665600000,501,430,259,89,92,191,654,1224,1085,741,659,487|lat:81ms
1516752000000,496,354,324,150,107,301,700,1150,845,875,599,442|lat:54ms
1516838400000,453,486,259,140,120,265,719,1058,981,1042,844,789|lat:23ms
1516924800000,636,876,472,225,172,340,756,801,721,477,382,316|lat:160ms
1517011200000,294,201,156,90,61,116,260,454,342,163,203,222|lat:97ms
1517097600000,302,243,164,80,28,47,191,349,380,220,214,128|lat:162ms
1517184000000,113,379,195,102,108,190,690,1142,995,926,501,549|lat:31ms
1517270400000,734,611,356,169,109,276,653,1270,985,546,503,459|lat:164ms
1517356800000,373,289,133,65,31,62,166,268,253,161,70,44|lat:216ms
1517443200000,61,76,147,84,58,160,572,721,736,557,651,445|lat:164ms
1517529600000,395,444,348,185,144,345,960,1451,1042,1139,742,617|lat:45ms
1517616000000,416,327,322,162,92,210,467,531,382,353,366,270|lat:202ms
1517702400000,229,227,107,66,44,83,301,462,343,188,228,153|lat:111ms
1517788800000,90,241,238,131,65,137,644,1130,1418,1056,1024,768|lat:230ms
1517875200000,454,274,211,107,67,191,663,902,823,627,842,630|lat:117ms
1517961600000,491,337,207,114,83,218,760,1111,916,777,527,362|lat:127ms
1518048000000,249,393,223,129,107,223,653,1008,757,564,532,468|lat:145ms
1518134400000,499,411,308,159,114,263,481,689,611,600,547,690|lat:103ms
1518220800000,403,419,401,199,139,269,715,676,461,250,260,286|lat:71ms
1518307200000,421,376,309,154,95,174,349,516,449,213,420,388|lat:188ms
1518393600000,264,262,200,100,53,173,729,880,827,958,588,412|lat:145ms
1518480000000,321,332,212,94,51,154,526,873,1215,922,693,662|lat:167ms
1518566400000,419,329,193,104,58,156,438,1052,1216,1012,997,709|lat:134ms
1518652800000,439,544,377,204,133,317,1101,1546,1181,736,858,750|lat:228ms
1518739200000,542,388,335,234,152,356,1033,1277,1112,1105,1152,591|lat:37ms
1518825600000,329,357,255,205,120,220,555,676,368,130,472,459|lat:200ms
1518912000000,488,448,290,166,115,204,447,634,376,115,67,52|lat:76ms
1518998400000,108,241,176,97,62,144,391,647,505,300,121,127|lat:92ms
1519084800000,144,311,179,117,73,191,691,1064,1127,880,778,691|lat:48ms
1519171200000,526,429,301,163,108,267,777,1528,1231,681,753,761|lat:47ms
1519257600000,385,396,351,155,130,242,663,1168,1023,617,453,386|lat:126ms
1519344000000,381,440,412,198,140,381,1158,1630,1498,1155,888,634|lat:133ms
1519430400000,364,234,204,121,79,138,310,442,253,156,270,332|lat:107ms
1519516800000,320,260,199,125,67,119,401,458,463,324,151,108|lat:44ms
1519603200000,132,335,214,114,69,197,711,1106,1061,969,481,478|lat:91ms
1519689600000,678,608,371,189,145,299,840,1151,942,641,708,979|lat:172ms
1519776000000,500,374,240,124,87,221,338,493,353,300,178,64|lat:122ms
1519862400000,63,58,25,11,7,5,23,35,79,61,18,17|lat:180ms
1519948800000,15,12,3,5,3,3,16,31,14,14,10,11|lat:126ms
1520035200000,12,9,6,3,2,2,8,14,14,13,11,10|lat:45ms
1520121600000,7,0,3,3,0,4,10,16,7,11,15,4|lat:189ms
1520208000000,7,3,5,0,0,2,6,8,5,15,6,3|lat:130ms
1520294400000,6,4,5,1,0,1,7,33,13,33,21,11|lat:90ms
1520380800000,4,6,2,7,2,1,3,6,10,5,7,0|lat:326ms
1520467200000,1,1,1,0,0,1,16,6,16,11,3,1|lat:158ms
1520553600000,4,3,4,0,0,2,0,1,3,4,5,2|lat:120ms
1520640000000,2,0,1,0,0,0,0,1,1,2,1,3|lat:218ms
1520726400000,0,2,0,0,0,1,0,1,1,2,1,0|lat:239ms
1520812800000,1,1,1,0,2,0,0,3,8,3,1,0|lat:180ms
1520899200000,1,6,2,0,0,0,2,1,0,3,2,0|lat:406ms
1520985600000,0,2,0,0,0,0,1,3,2,1,1,1|lat:269ms
1521072000000,2,0,0,0,0,0,0,13,3,1,0,5|lat:208ms
1521158400000,1,2,0,0,0,0,1,1,0,0,0,0|lat:686ms
1521244800000,0,1,0,0,0,0,0,1,0,0,0,0|lat:597ms
1521331200000,1,0,0,0,1,0,1,1,0,0,1,0|lat:349ms
1521417600000,2,1,0,1,0,0,2,0,3,2,1,0|lat:446ms
1521504000000,1,1,0,0,0,0,0,2,2,0,1,0|lat:405ms
1521590400000,2,0,0,1,0,1,0,1,0,1,0,0|lat:617ms
1521676800000,0,0,0,1,0,0,3,1,1,0,1,0|lat:260ms
1521763200000,4,0,0,0,1,2,0,2,5,6,4,2|lat:316ms
1521849600000,1,1,1,0,0,0,0,0,1,0,1,0|lat:323ms
1521936000000,1,0,0,0,1,0,1,0,2,3,2,0|lat:264ms
1522022400000,2,1,0,0,0,0,1,5,1,1,1,1|lat:154ms
1522108800000,7,2,2,0,1,0,2,5,0,2,0,3|lat:258ms
1522195200000,4,1,0,1,2,0,0,1,3,1,3,1|lat:240ms
1522281600000,2,2,0,0,0,0,1,1,3,2,1,0|lat:436ms
1522368000000,1,1,0,0,0,0,0,1,0,0,0,0|lat:1000ms
1522454400000,0,0,0,0,0,0,1,1,2,0,0,2|lat:443ms
1522540800000,0,0,1,0,0,0,0,2,1,1,0,0|lat:354ms
1522627200000,1,1,0,0,0,0,0,2,2,0,1,2|lat:322ms
1522713600000,1,0,0,0,0,0,3,3,4,0,1,0|lat:297ms
1522800000000,0,1,1,0,0,1,2,1,1,0,1,0|lat:287ms
1522886400000,1,0,0,0,1,0,1,2,2,0,1,1|lat:332ms
1522972800000,1,0,1,0,0,1,0,0,0,1,0,0|lat:399ms
1523059200000,1,0,1,0,0,0,0,1,0,0,0,0|lat:898ms
1523145600000,0,0,0,0,0,1,1,0,0,0,0,0|lat:877ms
1523232000000,0,0,0,0,0,0,1,2,2,0,1,0|lat:547ms
1523318400000,0,0,1,0,0,0,0,1,1,1,0,0|lat:549ms
1523404800000,0,0,0,20,1,0,2,2,0,1,1,0|lat:201ms
1523491200000,1,1,0,0,0,0,0,0,0,2,0,1|lat:731ms
1523577600000,0,0,0,0,0,0,0,1,1,0,0,1|lat:867ms
1523664000000,0,0,0,0,0,0,0,0,0,1,0,0|lat:957ms
1523750400000,0,0,0,0,0,0,0,1,0,1,0,1|lat:316ms
1523836800000,1,0,0,1,0,0,0,1,1,1,0,2|lat:445ms
1523923200000,0,0,0,1,0,1,0,3,1,1,2,1|lat:406ms
